shop,date,english_sale_total,beer_sale_total,desi_sale_total,subtotal,deduction1,deduction2,final_total
rora,2026-07-01,8100,4590,12350,25040,300,445,24295
rora,2026-07-02,9250,5790,13460,28500,270,555,27675
rora,2026-07-03,13090,5710,13460,32260,160,630,31520
rora,2026-07-04,13480,6310,13290,33080,900,720,31460
rora,2026-07-05,9510,5870,14200,29580,50,705,28825
kharadiya,2026-07-01,4140,2650,5750,12540,110,3330,9100
kharadiya,2026-07-02,2160,2530,4900,9590,60,0,9530
kharadiya,2026-07-03,2000,600,5240,7840,60,1200,6580
kharadiya,2026-07-04,2000,2900,5710,10610,80,1620,8910
kharadiya,2026-07-05,2280,10310,7350,19940,980,7010,12030
